group,variable,value
sourdough bread,tamarind,0
sourdough bread,rosewater,0
sourdough bread,seeds,0
sourdough bread,grapeseed oil,0
sourdough bread,coconut oil,0
sourdough bread,mirin,0
sourdough bread,cake,0
sourdough bread,chestnut mushrooms,0
sourdough bread,beans,0
sourdough bread,rosemary,0
sourdough bread,cream of tartar,0
sourdough bread,rice noodles,0
sourdough bread,pork,0
sourdough bread,brown rice,0
sourdough bread,mascarpone,0
sourdough bread,rice flour,0
sourdough bread,cauliflower,0
sourdough bread,beef,0
sourdough bread,white wine,0
sourdough bread,meat,0
sourdough bread,pollock,0
sourdough bread,savoy cabbage,0
sourdough bread,grapefruit,0
sourdough bread,cannellini beans,0
sourdough bread,soy sauce,0
sourdough bread,kidney beans,0
sourdough bread,chocolate truffle,0
sourdough bread,mustard powder,0
sourdough bread,soup,0
sourdough bread,broth,0
sourdough bread,tarragon,0
sourdough bread,mung beans,0
sourdough bread,tilapia,0
sourdough bread,asparagus,0
sourdough bread,yeast,0
sourdough bread,mango chutney,0
sourdough bread,demerara sugar,0
sourdough bread,dumplings,0
sourdough bread,icing,0
sourdough bread,crackers,0
sourdough bread,ground almonds,0
sourdough bread,foie gras,0
sourdough bread,butternut squash,0
sourdough bread,liver,0
sourdough bread,linguine,0
sourdough bread,horseradish sauce,0
sourdough bread,coriander seeds,0
sourdough bread,monkfish,0
sourdough bread,bamboo shoots,0
sourdough bread,peanut butter,0
sourdough bread,white pepper,0
sourdough bread,gin,0
sourdough bread,beansprouts,0
sourdough bread,caraway seeds,0
sourdough bread,pineapple juice,0
sourdough bread,savory,0
sourdough bread,broad beans,0
sourdough bread,venison,0
sourdough bread,smoked salmon,0
sourdough bread,red wine,0
sourdough bread,pastry,0
sourdough bread,verjus,0
sourdough bread,coffee granules,0
sourdough bread,roast turkey,0
sourdough bread,lemon curd,0
sourdough bread,chives,0
sourdough bread,curly kale,0
sourdough bread,white bread,0
sourdough bread,corn syrup,0
sourdough bread,cuttlefish,0
sourdough bread,chervil,0
sourdough bread,seasoning,0
sourdough bread,salami,0
sourdough bread,lentils,0
sourdough bread,safflower oil,0
sourdough bread,ice cream,0
sourdough bread,mustard seeds,0
sourdough bread,raisins,0
sourdough bread,chocolate cake,0
sourdough bread,margarine,0
sourdough bread,gorgonzola,0
sourdough bread,oil,0
sourdough bread,jelly,0
sourdough bread,apricot jam,0
sourdough bread,whipping cream,0
sourdough bread,coleslaw,0
sourdough bread,salad leaves,0
sourdough bread,mango,0
sourdough bread,watercress,0
sourdough bread,thyme,0
sourdough bread,vegetable shortening,0
sourdough bread,pork shoulder,0
sourdough bread,turmeric,0
sourdough bread,green lentil,0
sourdough bread,cress,0
sourdough bread,star anise,0
sourdough bread,arborio rice,0
sourdough bread,corn oil,0
sourdough bread,grapes,0
sourdough bread,pumpkin,0
sourdough bread,coulis,0
sourdough bread,baguette,0
sourdough bread,brandy,0
sourdough bread,strawberry jam,0
sourdough bread,semolina,0
sourdough bread,tequila,0
sourdough bread,poppy seeds,0
sourdough bread,double cream,0
sourdough bread,dark chocolate,0
sourdough bread,tangerine,0
sourdough bread,baking powder,0
sourdough bread,camembert,0
sourdough bread,chopped tomatoes,0
sourdough bread,vanilla essence,0
sourdough bread,sea salt,0
sourdough bread,ground ginger,0
sourdough bread,red wine vinegar,0
sourdough bread,bonito,0
sourdough bread,lobster,0
sourdough bread,flatbread,0
sourdough bread,compote,0
sourdough bread,milk chocolate,0
sourdough bread,pak choi,0
sourdough bread,lardons,0
sourdough bread,caviar,0
sourdough bread,condensed milk,0
sourdough bread,marjoram,0
sourdough bread,pork sausages,0
sourdough bread,caster sugar,0
sourdough bread,curry leaves,0
sourdough bread,hollandaise sauce,0
sourdough bread,turkey breast,0
cider,cider,2
cider,paprika,1
cider,mayonnaise,1
cider,dijon mustard,1
cider,salt,1
cider,black pepper,1
cider,cherry tomatoes,0
cider,pancetta,0
cider,white chocolate,0
cider,champagne,0
cider,lager,0
cider,duck fat,0
cider,spring roll wrappers,0
cider,horseradish,0
cider,coriander,0
cider,fresh coriander,0
cider,squid,0
cider,gnocchi,0
cider,curry,0
cider,maple syrup,0
cider,avocado,0
cider,oats,0
cider,vegetable stock,0
cider,gouda,0
cider,roast beef,0
cider,capsicum,0
cider,pinto beans,0
cider,seafood,0
cider,biscuits,0
cider,risotto rice,0
cider,cream cheese,0
cider,nutmeg,0
cider,juniper berries,0
cider,salmon,0
cider,custard,0
cider,cottage cheese,0
cider,haddock,0
cider,fruit,0
cider,cinnamon,0
cider,apple juice,0
cider,duck,0
cider,green cabbage,0
cider,long-grain rice,0
cider,oyster mushrooms,0
cider,zest,0
cider,gingerbread,0
cider,seaweed,0
cider,fontina cheese,0
cider,oyster sauce,0
cider,corned beef,0
cider,pastrami,0
cider,black sesame seeds,0
cider,lamb,0
cider,miso,0
cider,celery,0
cider,white wine vinegar,0
cider,syrup,0
cider,sesame oil,0
cider,sherry,0
cider,orange,0
cider,buckwheat,0
cider,rice,0
cider,chips,0
cider,crab,0
cider,watermelon,0
cider,mixed berries,0
cider,chocolate,0
cider,lemon,0
cider,halibut,0
cider,puff pastry,0
cider,butter,0
cider,vanilla extract,0
cider,almond extract,0
cider,hoisin sauce,0
cider,risotto,0
cider,brioche,0
cider,truffle oil,0
cider,curry powder,0
cider,cognac,0
cider,chicken,0
cider,fillet of beef,0
cider,fleur de sel,0
cider,rum,0
cider,rice wine,0
cider,mixed spice,0
cider,serrano ham,0
cider,dill,0
cider,split peas,0
cider,hummus,0
cider,millet flour,0
cider,sea bream,0
cider,pomegranate,0
cider,stock,0
cider,buns,0
cider,ginger,0
cider,chutney,0
cider,chinese cabbage,0
cider,swiss chard,0
cider,spring greens,0
cider,shellfish,0
cider,coconut cream,0
cider,sesame seeds,0
cider,stuffing,0
cider,pigeon peas,0
cider,sourdough bread,0
cider,nasturtium,0
cider,yoghurt,0
cider,dulce de leche,0
cider,bay leaf,0
cider,plain flour,0
cider,cream,0
cider,food colouring,0
cider,flour,0
cider,fusilli,0
cider,squash,0
cider,vegetables,0
cider,buttermilk,0
cider,pea shoots,0
cider,pesto,0
cider,asafoetida,0
cider,ricotta,0
cider,noodles,0
cider,lime juice,0
cider,spaghetti squash,0
cider,cucumber,0
cider,mint,0
cider,pappardelle,0
cider,bicarbonate of soda,0
cider,pasta,0
cider,vermicelli,0
cider,quinoa,0
cider,evaporated milk,0
cider,vinegar,0
cider,pineapple,0
cider,rainbow chard,0
cider,root beer,0
cider,amaranth,0
cider,kale,0
cider,wholemeal bread,0
cider,lemon juice,0
cider,mustard,0
cider,rye bread,0
cider,peanuts,0
cider,blood orange,0
cider,dry sherry,0
cider,tomato juice,0
cider,cardamom,0
cider,pumpernickel bread,0
cider,chickpea flour,0
cider,molasses,0
cider,sugar,0
cider,broccoli,0
cider,fennel seeds,0
cider,soda,0
cider,cabbage,0
cider,fat,0
cider,daikon,0
cider,soba noodles,0
cider,anise,0
cider,barbecue sauce,0
cider,anchovies,0
cider,peanut oil,0
cider,pepperoni,0
cider,lime,0
cider,mussels,0
cider,sherry vinegar,0
cider,coconut,0
cider,cranberry juice,0
cider,garlic,0
cider,wasabi,0
cider,spaghetti,0
cider,chorizo,0
cider,porcini,0
cider,cream soda,0
cider,herbes de provence,0
cider,sirloin,0
cider,port,0
cider,balsamic vinegar,0
cider,tahini,0
cider,cayenne pepper,0
cider,wine,0
cider,pork belly,0
cider,coffee liqueur,0
cider,macaroni,0
cider,salad,0
cider,orange juice,0
cider,pork loin,0
cider,marsala wine,0
cider,rice vinegar,0
cider,walnut oil,0
cider,bulgur wheat,0
cider,vermouth,0
cider,black beans,0
cider,chicken stock,0
cider,red cabbage,0
cider,parsley,0
cider,hazelnut oil,0
cider,stew,0
cider,sunflower oil,0
cider,jam,0
cider,croutons,0
cider,oregano,0
cider,cumin,0
cider,french bread,0
cider,milk,0
cider,chipotle,0
cider,runner beans,0
cider,gravy,0
cider,allspice,0
cider,peas,0
cider,chilli paste,0
cider,cod,0
cider,beef ribs,0
cider,clarified butter,0
cider,preserves,0
cider,spinach,0
cider,sage,0
cider,salsa,0
cider,polenta,0
cider,nori,0
cider,curry paste,0
cider,basil,0
cider,grapefruit juice,0
cider,potato wedges,0
cider,coconut milk,0
cider,pomegranate juice,0
cider,green beans,0
cider,herbs,0
cider,ale,0
cider,crisps,0
cider,cocoa powder,0
cider,iceberg lettuce,0
cider,wild rice,0
cider,ghee,0
cider,vegetable oil,0
cider,steak,0
cider,rye flour,0
cider,saffron,0
cider,sushi rice,0
cider,ketchup,0
cider,lemon balm,0
cider,fennel,0
cider,thai basil,0
cider,garam masala,0
cider,bread,0
cider,cheese,0
cider,papaya,0
cider,rhubarb,0
cider,ciabatta,0
cider,capers,0
cider,honey,0
cider,curd cheese,0
cider,turkey,0
cider,lettuce,0
cider,chard,0
cider,vodka,0
cider,tofu,0
cider,jaggery,0
cider,oatmeal,0
cider,brussels sprouts,0
cider,golden syrup,0
cider,sumac,0
cider,coffee,0
cider,palm sugar,0
cider,lemongrass,0
cider,guacamole,0
cider,brown sugar,0
cider,pulled pork,0
cider,spelt flour,0
cider,beef stock,0
cider,spices,0
cider,worcestershire sauce,0
cider,cola,0
cider,clams,0
cider,mixed nuts,0
cider,raspberry jam,0
cider,rock salt,0
cider,radicchio,0
cider,ham,0
cider,bacon,0
cider,brisket,0
cider,fish,0
cider,fish sauce,0
cider,tamarind,0
cider,rosewater,0
cider,seeds,0
cider,grapeseed oil,0
cider,coconut oil,0
cider,mirin,0
cider,cake,0
cider,chestnut mushrooms,0
cider,beans,0
cider,rosemary,0
cider,cream of tartar,0
cider,rice noodles,0
cider,pork,0
cider,brown rice,0
cider,mascarpone,0
cider,rice flour,0
cider,cauliflower,0
cider,beef,0
cider,white wine,0
cider,meat,0
cider,pollock,0
cider,savoy cabbage,0
cider,grapefruit,0
cider,olive oil,0
cider,cannellini beans,0
cider,soy sauce,0
cider,kidney beans,0
cider,chocolate truffle,0
cider,mustard powder,0
cider,soup,0
cider,broth,0
cider,tarragon,0
cider,mung beans,0
cider,tilapia,0
cider,asparagus,0
cider,yeast,0
cider,mango chutney,0
cider,demerara sugar,0
cider,dumplings,0
cider,icing,0
cider,crackers,0
cider,ground almonds,0
cider,foie gras,0
cider,butternut squash,0
cider,liver,0
cider,linguine,0
cider,horseradish sauce,0
cider,coriander seeds,0
cider,monkfish,0
cider,bamboo shoots,0
cider,peanut butter,0
cider,white pepper,0
cider,gin,0
cider,beansprouts,0
cider,caraway seeds,0
cider,pineapple juice,0
cider,savory,0
cider,broad beans,0
cider,venison,0
cider,smoked salmon,0
cider,red wine,0
cider,pastry,0
cider,verjus,0
cider,coffee granules,0
cider,roast turkey,0
cider,prosciutto,0
cider,lemon curd,0
cider,chives,0
cider,curly kale,0
cider,white bread,0
cider,corn syrup,0
cider,cuttlefish,0
cider,chervil,0
cider,seasoning,0
cider,salami,0
cider,lentils,0
cider,safflower oil,0
cider,ice cream,0
cider,mustard seeds,0
cider,raisins,0
cider,chocolate cake,0
cider,margarine,0
cider,gorgonzola,0
cider,oil,0
cider,jelly,0
cider,apricot jam,0
cider,whipping cream,0
cider,coleslaw,0
cider,salad leaves,0
cider,mango,0
cider,pepper,0
cider,watercress,0
cider,beer,0
cider,thyme,0
cider,vegetable shortening,0
cider,pork shoulder,0
cider,turmeric,0
cider,green lentil,0
cider,cress,0
cider,star anise,0
cider,arborio rice,0
cider,corn oil,0
cider,grapes,0
cider,pumpkin,0
cider,coulis,0
cider,baguette,0
cider,brandy,0
cider,strawberry jam,0
cider,semolina,0
cider,tequila,0
cider,poppy seeds,0
cider,double cream,0
cider,dark chocolate,0
cider,tangerine,0
cider,baking powder,0
cider,camembert,0
cider,chopped tomatoes,0
cider,vanilla essence,0
cider,sea salt,0
cider,ground ginger,0
cider,red wine vinegar,0
cider,bonito,0
cider,lobster,0
cider,flatbread,0
cider,compote,0
cider,milk chocolate,0
cider,pak choi,0
cider,lardons,0
cider,caviar,0
cider,condensed milk,0
cider,marjoram,0
cider,pork sausages,0
cider,caster sugar,0
cider,curry leaves,0
cider,hollandaise sauce,0
cider,turkey breast,0
nasturtium,nasturtium,2
nasturtium,squid,1
nasturtium,stock,1
nasturtium,salt,1
nasturtium,mussels,1
nasturtium,garlic,1
nasturtium,parsley,1
nasturtium,saffron,1
nasturtium,tarragon,1
nasturtium,cherry tomatoes,0
nasturtium,pancetta,0
nasturtium,white chocolate,0
nasturtium,champagne,0
nasturtium,lager,0
nasturtium,duck fat,0
nasturtium,spring roll wrappers,0
nasturtium,horseradish,0
nasturtium,coriander,0
nasturtium,fresh coriander,0
nasturtium,gnocchi,0
nasturtium,curry,0
nasturtium,maple syrup,0
nasturtium,avocado,0
nasturtium,oats,0
nasturtium,vegetable stock,0
nasturtium,gouda,0
nasturtium,roast beef,0
nasturtium,capsicum,0
nasturtium,pinto beans,0
nasturtium,seafood,0
nasturtium,biscuits,0
nasturtium,paprika,0
nasturtium,risotto rice,0
nasturtium,cream cheese,0
nasturtium,nutmeg,0
nasturtium,juniper berries,0
nasturtium,salmon,0
nasturtium,custard,0
nasturtium,cottage cheese,0
nasturtium,haddock,0
nasturtium,fruit,0
nasturtium,cinnamon,0
nasturtium,apple juice,0
nasturtium,duck,0
nasturtium,green cabbage,0
nasturtium,long-grain rice,0
nasturtium,oyster mushrooms,0
nasturtium,zest,0
nasturtium,mayonnaise,0
nasturtium,gingerbread,0
nasturtium,seaweed,0
nasturtium,fontina cheese,0
nasturtium,oyster sauce,0
nasturtium,corned beef,0
nasturtium,pastrami,0
nasturtium,dijon mustard,0
nasturtium,black sesame seeds,0
nasturtium,lamb,0
nasturtium,miso,0
nasturtium,celery,0
nasturtium,white wine vinegar,0
nasturtium,syrup,0
nasturtium,sesame oil,0
nasturtium,sherry,0
nasturtium,orange,0
nasturtium,buckwheat,0
nasturtium,rice,0
nasturtium,chips,0
nasturtium,crab,0
nasturtium,watermelon,0
nasturtium,mixed berries,0
nasturtium,chocolate,0
nasturtium,lemon,0
nasturtium,halibut,0
nasturtium,puff pastry,0
nasturtium,butter,0
nasturtium,vanilla extract,0
nasturtium,almond extract,0
nasturtium,hoisin sauce,0
nasturtium,risotto,0
nasturtium,brioche,0
nasturtium,truffle oil,0
nasturtium,curry powder,0
nasturtium,cognac,0
nasturtium,chicken,0
nasturtium,fillet of beef,0
nasturtium,fleur de sel,0
nasturtium,rum,0
nasturtium,rice wine,0
nasturtium,mixed spice,0
nasturtium,serrano ham,0
nasturtium,dill,0
nasturtium,split peas,0
nasturtium,hummus,0
nasturtium,millet flour,0
nasturtium,sea bream,0
nasturtium,pomegranate,0
nasturtium,buns,0
nasturtium,ginger,0
nasturtium,chutney,0
nasturtium,chinese cabbage,0
nasturtium,swiss chard,0
nasturtium,spring greens,0
nasturtium,shellfish,0
nasturtium,coconut cream,0
nasturtium,sesame seeds,0
nasturtium,stuffing,0
nasturtium,pigeon peas,0
nasturtium,sourdough bread,0
nasturtium,cider,0
nasturtium,yoghurt,0
nasturtium,dulce de leche,0
nasturtium,bay leaf,0
nasturtium,plain flour,0
nasturtium,cream,0
nasturtium,food colouring,0
nasturtium,flour,0
nasturtium,fusilli,0
nasturtium,squash,0
nasturtium,vegetables,0
nasturtium,buttermilk,0
nasturtium,pea shoots,0
nasturtium,pesto,0
nasturtium,asafoetida,0
nasturtium,ricotta,0
nasturtium,noodles,0
nasturtium,lime juice,0
nasturtium,spaghetti squash,0
nasturtium,cucumber,0
nasturtium,mint,0
nasturtium,pappardelle,0
nasturtium,bicarbonate of soda,0
nasturtium,pasta,0
nasturtium,vermicelli,0
nasturtium,quinoa,0
nasturtium,evaporated milk,0
nasturtium,vinegar,0
nasturtium,pineapple,0
nasturtium,rainbow chard,0
nasturtium,root beer,0
nasturtium,amaranth,0
nasturtium,kale,0
nasturtium,wholemeal bread,0
nasturtium,lemon juice,0
nasturtium,mustard,0
nasturtium,rye bread,0
nasturtium,peanuts,0
nasturtium,blood orange,0
nasturtium,dry sherry,0
nasturtium,tomato juice,0
nasturtium,cardamom,0
nasturtium,pumpernickel bread,0
nasturtium,chickpea flour,0
nasturtium,molasses,0
nasturtium,sugar,0
nasturtium,broccoli,0
nasturtium,fennel seeds,0
nasturtium,soda,0
nasturtium,cabbage,0
nasturtium,black pepper,0
nasturtium,fat,0
nasturtium,daikon,0
nasturtium,soba noodles,0
nasturtium,anise,0
nasturtium,barbecue sauce,0
nasturtium,anchovies,0
nasturtium,peanut oil,0
nasturtium,pepperoni,0
nasturtium,lime,0
nasturtium,sherry vinegar,0
nasturtium,coconut,0
nasturtium,cranberry juice,0
nasturtium,wasabi,0
nasturtium,spaghetti,0
nasturtium,chorizo,0
nasturtium,porcini,0
nasturtium,cream soda,0
nasturtium,herbes de provence,0
nasturtium,sirloin,0
nasturtium,port,0
nasturtium,balsamic vinegar,0
nasturtium,tahini,0
nasturtium,cayenne pepper,0
nasturtium,wine,0
nasturtium,pork belly,0
nasturtium,coffee liqueur,0
nasturtium,macaroni,0
nasturtium,salad,0
nasturtium,orange juice,0
nasturtium,pork loin,0
nasturtium,marsala wine,0
nasturtium,rice vinegar,0
nasturtium,walnut oil,0
nasturtium,bulgur wheat,0
nasturtium,vermouth,0
nasturtium,black beans,0
nasturtium,chicken stock,0
nasturtium,red cabbage,0
nasturtium,hazelnut oil,0
nasturtium,stew,0
nasturtium,sunflower oil,0
nasturtium,jam,0
nasturtium,croutons,0
nasturtium,oregano,0
nasturtium,cumin,0
nasturtium,french bread,0
nasturtium,milk,0
nasturtium,chipotle,0
nasturtium,runner beans,0
nasturtium,gravy,0
nasturtium,allspice,0
nasturtium,peas,0
nasturtium,chilli paste,0
nasturtium,cod,0
nasturtium,beef ribs,0
nasturtium,clarified butter,0
nasturtium,preserves,0
nasturtium,spinach,0
nasturtium,sage,0
nasturtium,salsa,0
nasturtium,polenta,0
nasturtium,nori,0
nasturtium,curry paste,0
nasturtium,basil,0
nasturtium,grapefruit juice,0
nasturtium,potato wedges,0
nasturtium,coconut milk,0
nasturtium,pomegranate juice,0
nasturtium,green beans,0
nasturtium,herbs,0
nasturtium,ale,0
nasturtium,crisps,0
nasturtium,cocoa powder,0
nasturtium,iceberg lettuce,0
nasturtium,wild rice,0
nasturtium,ghee,0
nasturtium,vegetable oil,0
nasturtium,steak,0
nasturtium,rye flour,0
nasturtium,sushi rice,0
nasturtium,ketchup,0
nasturtium,lemon balm,0
nasturtium,fennel,0
nasturtium,thai basil,0
nasturtium,garam masala,0
nasturtium,bread,0
nasturtium,cheese,0
nasturtium,papaya,0
nasturtium,rhubarb,0
nasturtium,ciabatta,0
nasturtium,capers,0
nasturtium,honey,0
nasturtium,curd cheese,0
nasturtium,turkey,0
nasturtium,lettuce,0
nasturtium,chard,0
nasturtium,vodka,0
nasturtium,tofu,0
nasturtium,jaggery,0
nasturtium,oatmeal,0
nasturtium,brussels sprouts,0
nasturtium,golden syrup,0
nasturtium,sumac,0
nasturtium,coffee,0
nasturtium,palm sugar,0
nasturtium,lemongrass,0
nasturtium,guacamole,0
nasturtium,brown sugar,0
nasturtium,pulled pork,0
nasturtium,spelt flour,0
nasturtium,beef stock,0
nasturtium,spices,0
nasturtium,worcestershire sauce,0
nasturtium,cola,0
nasturtium,clams,0
nasturtium,mixed nuts,0
nasturtium,raspberry jam,0
nasturtium,rock salt,0
nasturtium,radicchio,0
nasturtium,ham,0
nasturtium,bacon,0
nasturtium,brisket,0
nasturtium,fish,0
nasturtium,fish sauce,0
nasturtium,tamarind,0
nasturtium,rosewater,0
nasturtium,seeds,0
nasturtium,grapeseed oil,0
nasturtium,coconut oil,0
nasturtium,mirin,0
nasturtium,cake,0
nasturtium,chestnut mushrooms,0
nasturtium,beans,0
nasturtium,rosemary,0
nasturtium,cream of tartar,0
nasturtium,rice noodles,0
nasturtium,pork,0
nasturtium,brown rice,0
nasturtium,mascarpone,0
nasturtium,rice flour,0
nasturtium,cauliflower,0
nasturtium,beef,0
nasturtium,white wine,0
nasturtium,meat,0
nasturtium,pollock,0
nasturtium,savoy cabbage,0
nasturtium,grapefruit,0
nasturtium,olive oil,0
nasturtium,cannellini beans,0
nasturtium,soy sauce,0
nasturtium,kidney beans,0
nasturtium,chocolate truffle,0
nasturtium,mustard powder,0
nasturtium,soup,0
nasturtium,broth,0
nasturtium,mung beans,0
nasturtium,tilapia,0
nasturtium,asparagus,0
nasturtium,yeast,0
nasturtium,mango chutney,0
nasturtium,demerara sugar,0
nasturtium,dumplings,0
nasturtium,icing,0
nasturtium,crackers,0
nasturtium,ground almonds,0
nasturtium,foie gras,0
nasturtium,butternut squash,0
nasturtium,liver,0
nasturtium,linguine,0
nasturtium,horseradish sauce,0
nasturtium,coriander seeds,0
nasturtium,monkfish,0
nasturtium,bamboo shoots,0
nasturtium,peanut butter,0
nasturtium,white pepper,0
nasturtium,gin,0
nasturtium,beansprouts,0
nasturtium,caraway seeds,0
nasturtium,pineapple juice,0
nasturtium,savory,0
nasturtium,broad beans,0
nasturtium,venison,0
nasturtium,smoked salmon,0
nasturtium,red wine,0
nasturtium,pastry,0
nasturtium,verjus,0
nasturtium,coffee granules,0
nasturtium,roast turkey,0
nasturtium,prosciutto,0
nasturtium,lemon curd,0
nasturtium,chives,0
nasturtium,curly kale,0
nasturtium,white bread,0
nasturtium,corn syrup,0
nasturtium,cuttlefish,0
nasturtium,chervil,0
nasturtium,seasoning,0
nasturtium,salami,0
nasturtium,lentils,0
nasturtium,safflower oil,0
nasturtium,ice cream,0
nasturtium,mustard seeds,0
nasturtium,raisins,0
nasturtium,chocolate cake,0
nasturtium,margarine,0
nasturtium,gorgonzola,0
nasturtium,oil,0
nasturtium,jelly,0
nasturtium,apricot jam,0
nasturtium,whipping cream,0
nasturtium,coleslaw,0
nasturtium,salad leaves,0
nasturtium,mango,0
nasturtium,pepper,0
nasturtium,watercress,0
nasturtium,beer,0
nasturtium,thyme,0
nasturtium,vegetable shortening,0
nasturtium,pork shoulder,0
nasturtium,turmeric,0
nasturtium,green lentil,0
nasturtium,cress,0
nasturtium,star anise,0
nasturtium,arborio rice,0
nasturtium,corn oil,0
nasturtium,grapes,0
nasturtium,pumpkin,0
nasturtium,coulis,0
nasturtium,baguette,0
nasturtium,brandy,0
nasturtium,strawberry jam,0
nasturtium,semolina,0
nasturtium,tequila,0
nasturtium,poppy seeds,0
nasturtium,double cream,0
nasturtium,dark chocolate,0
nasturtium,tangerine,0
nasturtium,baking powder,0
nasturtium,camembert,0
nasturtium,chopped tomatoes,0
nasturtium,vanilla essence,0
nasturtium,sea salt,0
nasturtium,ground ginger,0
nasturtium,red wine vinegar,0
nasturtium,bonito,0
nasturtium,lobster,0
nasturtium,flatbread,0
nasturtium,compote,0
nasturtium,milk chocolate,0
nasturtium,pak choi,0
nasturtium,lardons,0
nasturtium,caviar,0
nasturtium,condensed milk,0
nasturtium,marjoram,0
nasturtium,pork sausages,0
nasturtium,caster sugar,0
nasturtium,curry leaves,0
nasturtium,hollandaise sauce,0
nasturtium,turkey breast,0
yoghurt,yoghurt,26
yoghurt,salt,6
yoghurt,sugar,4
yoghurt,vanilla extract,3
yoghurt,milk,3
yoghurt,lemon juice,2
yoghurt,curry,1
yoghurt,maple syrup,1
yoghurt,fruit,1
yoghurt,chips,1
yoghurt,butter,1
yoghurt,lime juice,1
yoghurt,cumin,1
yoghurt,honey,1
yoghurt,seeds,1
yoghurt,chives,1
yoghurt,oil,1
yoghurt,baguette,1
yoghurt,cherry tomatoes,0
yoghurt,pancetta,0
yoghurt,white chocolate,0
yoghurt,champagne,0
yoghurt,lager,0
yoghurt,duck fat,0
yoghurt,spring roll wrappers,0
yoghurt,horseradish,0
yoghurt,coriander,0
yoghurt,fresh coriander,0
yoghurt,squid,0
yoghurt,gnocchi,0
yoghurt,avocado,0
yoghurt,oats,0
yoghurt,vegetable stock,0
yoghurt,gouda,0
yoghurt,roast beef,0
yoghurt,capsicum,0
yoghurt,pinto beans,0
yoghurt,seafood,0
yoghurt,biscuits,0
yoghurt,paprika,0
yoghurt,risotto rice,0
yoghurt,cream cheese,0
yoghurt,nutmeg,0
yoghurt,juniper berries,0
yoghurt,salmon,0
yoghurt,custard,0
yoghurt,cottage cheese,0
yoghurt,haddock,0
yoghurt,cinnamon,0
yoghurt,apple juice,0
yoghurt,duck,0
yoghurt,green cabbage,0
yoghurt,long-grain rice,0
yoghurt,oyster mushrooms,0
yoghurt,zest,0
yoghurt,mayonnaise,0
yoghurt,gingerbread,0
yoghurt,seaweed,0
yoghurt,fontina cheese,0
yoghurt,oyster sauce,0
yoghurt,corned beef,0
yoghurt,pastrami,0
yoghurt,dijon mustard,0
yoghurt,black sesame seeds,0
yoghurt,lamb,0
yoghurt,miso,0
yoghurt,celery,0
yoghurt,white wine vinegar,0
yoghurt,syrup,0
yoghurt,sesame oil,0
yoghurt,sherry,0
yoghurt,orange,0
yoghurt,buckwheat,0
yoghurt,rice,0
yoghurt,crab,0
yoghurt,watermelon,0
yoghurt,mixed berries,0
yoghurt,chocolate,0
yoghurt,lemon,0
yoghurt,halibut,0
yoghurt,puff pastry,0
yoghurt,almond extract,0
yoghurt,hoisin sauce,0
yoghurt,risotto,0
yoghurt,brioche,0
yoghurt,truffle oil,0
yoghurt,curry powder,0
yoghurt,cognac,0
yoghurt,chicken,0
yoghurt,fillet of beef,0
yoghurt,fleur de sel,0
yoghurt,rum,0
yoghurt,rice wine,0
yoghurt,mixed spice,0
yoghurt,serrano ham,0
yoghurt,dill,0
yoghurt,split peas,0
yoghurt,hummus,0
yoghurt,millet flour,0
yoghurt,sea bream,0
yoghurt,pomegranate,0
yoghurt,stock,0
yoghurt,buns,0
yoghurt,ginger,0
yoghurt,chutney,0
yoghurt,chinese cabbage,0
yoghurt,swiss chard,0
yoghurt,spring greens,0
yoghurt,shellfish,0
yoghurt,coconut cream,0
yoghurt,sesame seeds,0
yoghurt,stuffing,0
yoghurt,pigeon peas,0
yoghurt,sourdough bread,0
yoghurt,cider,0
yoghurt,nasturtium,0
yoghurt,dulce de leche,0
yoghurt,bay leaf,0
yoghurt,plain flour,0
yoghurt,cream,0
yoghurt,food colouring,0
yoghurt,flour,0
yoghurt,fusilli,0
yoghurt,squash,0
yoghurt,vegetables,0
yoghurt,buttermilk,0
yoghurt,pea shoots,0
yoghurt,pesto,0
yoghurt,asafoetida,0
yoghurt,ricotta,0
yoghurt,noodles,0
yoghurt,spaghetti squash,0
yoghurt,cucumber,0
yoghurt,mint,0
yoghurt,pappardelle,0
yoghurt,bicarbonate of soda,0
yoghurt,pasta,0
yoghurt,vermicelli,0
yoghurt,quinoa,0
yoghurt,evaporated milk,0
yoghurt,vinegar,0
yoghurt,pineapple,0
yoghurt,rainbow chard,0
yoghurt,root beer,0
yoghurt,amaranth,0
yoghurt,kale,0
yoghurt,wholemeal bread,0
yoghurt,mustard,0
yoghurt,rye bread,0
yoghurt,peanuts,0
yoghurt,blood orange,0
yoghurt,dry sherry,0
yoghurt,tomato juice,0
yoghurt,cardamom,0
yoghurt,pumpernickel bread,0
yoghurt,chickpea flour,0
yoghurt,molasses,0
yoghurt,broccoli,0
yoghurt,fennel seeds,0
yoghurt,soda,0
yoghurt,cabbage,0
yoghurt,black pepper,0
yoghurt,fat,0
yoghurt,daikon,0
yoghurt,soba noodles,0
yoghurt,anise,0
yoghurt,barbecue sauce,0
yoghurt,anchovies,0
yoghurt,peanut oil,0
yoghurt,pepperoni,0
yoghurt,lime,0
yoghurt,mussels,0
yoghurt,sherry vinegar,0
yoghurt,coconut,0
yoghurt,cranberry juice,0
yoghurt,garlic,0
yoghurt,wasabi,0
yoghurt,spaghetti,0
yoghurt,chorizo,0
yoghurt,porcini,0
